"index","Time (s)","Vibration (mm/s)","Temperature (Celsius)","Current (Amps)","Ambient Temp (Celsius)","Humidity (%)","Operating Hours","Load Level","Duty Cycle","Equipment Age (Years)","Failure Label"
"0","0","4.5960024695354","54.486644770878","5.131332129578","27.07113648599","53.899903589479","2260.6590497232","0.78166217449147","2","3.0408484044177","Warning"
"1","5","3.7641851480762","56.608175626061","5.7631818766049","25.955511345205","72.800153169439","6154.1029339425","0.89647287374906","4","7.8629226623301","Warning"
"2","10","1.4190393403573","63.053152273885","4.8141538112847","24.375061648042","69.361818561918","1019.3187013515","1.1294718852501","1","8.7973968071397","Normal"
"3","15","2.0857517706753","69.904671287803","4.979824902543","26.998986480605","69.333017354392","3454.2577301064","1.0535424312517","2","9.5902215131793","Warning"
"4","20","2.3028456132213","60.746053900801","5.1633679549009","18.221894411769","52.325636991148","5527.7248077773","0.7561812720227","3","6.2928361288918","Normal"
"5","25","0.58931854146322","57.721584151206","5.1750465887316","25.6819425197","73.983021447583","3046.2371997748","0.76859233485532","3","2.3010004593056","Normal"
"6","30","4.9461577544104","53.121034672954","4.0359643399367","16.523555067445","63.228338206165","5942.309411347","0.54767136309682","2","2.0871187422023","Warning"
"7","35","0.60731416957397","66.537518091455","5.8563208724162","20.584570678146","65.91656757574","5532.5897067134","0.96363079228263","5","8.7628338374241","Warning"
"8","40","2.5199732513109","60.562916471308","4.4608036218453","16.435809856077","44.337708442474","1777.8750298974","0.69597664678483","1","8.2311958511987","Normal"
"9","45","3.1731495048934","52.065250592961","5.7948800420146","21.987557146678","55.092346027789","1168.5423486248","0.98793696445283","5","4.7089643201472","Warning"
"10","50","4.4546161492014","52.775447176349","4.0587025228131","15.884613838342","55.064222695707","8142.1016020814","0.88029278219237","3","2.0240565378469","Warning"
"11","55","1.3142893149921","59.658454539463","4.735872062066","20.831055049817","54.405036332179","4115.2952956714","0.99236924300204","2","9.2867286446913","Normal"
"12","60","2.0826903354843","61.311887168952","5.4205355969139","16.90627086797","42.066231003318","7737.0172051171","0.93148902700599","4","5.0282274191466","Normal"
"13","65","3.8934747769538","51.414676839675","5.4626890856928","20.457449532361","44.604953871952","3947.8316940671","0.73360349762254","3","5.6556437290417","Warning"
"14","70","4.6791373123218","51.947484521852","5.1982673506083","16.735170232669","48.77363047309","2715.9180857344","0.51167309475161","4","8.8221685552277","Warning"
"15","75","1.417189473824","58.654963079658","5.3275774806221","22.151596810205","46.046960942212","8135.4241080572","1.1942548323829","2","2.5257004351635","Normal"
"16","80","1.5943237746777","52.152313957284","4.2884893556785","17.906467906108","70.358858186782","8095.6468766381","0.58936370299508","2","9.3666220920424","Normal"
"17","85","2.0263420818788","58.501405158834","5.0326656092253","15.738768927903","53.369243359144","9401.9038247643","0.64091412659004","4","5.5017729471595","Normal"
"18","90","1.2796998606568","68.63092633527","4.2696113843357","29.922077739092","45.563658816219","6183.190295887","0.84378730860247","2","9.4342763150994","Warning"
"19","95","1.0719644136962","62.431589327697","5.1572956687143","16.299710597802","46.711952844068","4038.7079386766","0.86087326041331","5","9.8159013407955","Normal"
"20","100","2.4458338782796","50.795110858443","4.4881712090896","27.694212017659","75.377677789022","5295.579522068","1.0886466120254","2","5.2346960207472","Normal"
"21","105","4.4270250532535","55.187153836793","4.3565408871591","21.554766119136","78.23452322927","247.35190836044","1.1166673461173","4","2.4555500254822","Warning"
"22","110","2.3754554876061","57.707777872019","4.3115801365165","29.205567813965","50.458957751335","9733.3338919119","0.92853081934626","2","5.4524142731589","Normal"
"23","115","0.67858997820015","61.824003901517","4.9723382335014","24.507766872159","68.009741619002","7757.7819626484","0.99361027100936","1","1.8325526171015","Normal"
"24","120","1.756219998106","56.141430642258","4.5760911730603","29.460838218917","46.695848575299","4379.7823638922","0.73051383982954","2","9.0964931325294","Normal"
"25","125","2.4602216589006","57.401091201334","5.6788095788356","15.187351184322","49.096345542917","5861.4045427135","0.83524762617405","4","6.1316908515602","Normal"
"26","130","4.3981200195995","68.982307845","4.2737402015942","27.459094640215","60.67967003135","2516.903086572","0.78845831689621","4","3.0109276485597","Warning"
"27","135","2.8278889603022","54.719072569314","4.4052767638993","16.725551762869","73.457400976357","6146.8227800802","1.1738749540538","4","1.9919340560945","Normal"
"28","140","3.1604998748368","50.925645678015","5.365135707943","29.451651570871","52.161542681404","5143.440434677","0.81822756396798","4","7.4258797682605","Warning"
