Date,Category,Sales
2023-12-22,Mercedes-Benz,721
2023-11-21,Maserati,501
2023-09-13,GMC,392
2023-08-23,Infiniti,720
2023-09-15,Ford,473
2023-06-10,Chevrolet,918
2024-02-28,GMC,98
2023-11-10,GMC,904
2023-10-18,Toyota,612
2024-04-09,Dodge,531
2023-10-09,GMC,849
2023-08-07,Dodge,656
2024-03-27,Toyota,200
2024-06-09,BMW,645
2023-08-01,Honda,999
2023-08-22,MINI,545
2023-11-07,Audi,355
2023-09-17,Cadillac,443
2024-06-09,Chevrolet,837
2024-04-24,Pontiac,473
2024-05-08,Mercedes-Benz,98
2024-05-07,Subaru,236
2023-08-31,Toyota,562
2024-04-22,GMC,801
2023-08-28,Volkswagen,270
2023-06-27,Audi,103
2023-10-04,Ford,109
2023-12-13,Toyota,770
2023-06-23,BMW,116
2024-02-29,Lamborghini,260
2024-04-05,BMW,728
2024-03-25,Toyota,889
2024-04-15,Nissan,578
2023-06-17,Subaru,998
2024-04-17,Dodge,357
2023-09-22,Pontiac,588
2024-04-20,Mazda,400
2023-12-25,BMW,60
2024-05-10,Volvo,826
2023-09-27,Plymouth,909
2024-03-08,Mercedes-Benz,513
2023-09-28,Toyota,164
2024-02-24,Ford,837
2023-09-19,Ford,247
2024-02-14,Jeep,92
2023-12-15,GMC,320
2024-01-04,GMC,314
2023-07-16,Lincoln,609
2023-12-28,Buick,159
2023-10-25,Geo,888
2023-07-14,Mazda,368
2024-05-12,Toyota,132
2023-07-03,Volkswagen,267
2024-03-13,Chevrolet,591
2024-05-01,Chevrolet,417
2023-07-21,Mercedes-Benz,149
2024-01-21,Pontiac,117
2023-09-27,Audi,567
2023-07-08,Land Rover,127
2023-06-15,Mazda,491
2024-02-12,Mercedes-Benz,992
2023-07-02,Ford,676
2023-10-29,Mercury,665
2023-06-28,Mercury,985
2024-05-21,Lexus,150
2024-02-12,Saab,627
2023-06-14,Jeep,303
2024-03-16,Mazda,563
2023-10-02,Mazda,650
2024-01-07,Acura,570
2023-09-12,Mercedes-Benz,679
2023-10-20,Toyota,210
2024-05-09,Nissan,91
2023-08-15,Ford,885
2023-11-26,Ford,948
2024-03-19,Chevrolet,398
2024-02-22,Audi,337
2024-02-07,Pontiac,169
2023-12-03,Isuzu,436
2023-12-09,Mitsubishi,312
2024-05-30,Nissan,755
2023-07-28,Honda,296
2024-05-06,Chevrolet,586
2023-09-14,Honda,618
2024-06-07,Chevrolet,85
2023-09-17,Lexus,712
2023-12-28,Oldsmobile,490
2023-10-31,Chevrolet,384
2023-08-03,Lamborghini,163
2023-09-06,Dodge,822
2023-07-20,Chrysler,328
2023-07-06,Mercury,785
2023-09-22,Chevrolet,445
2024-01-01,Nissan,212
2024-01-01,Acura,819
2023-08-08,Mercury,680
2023-12-08,Lincoln,608
2023-09-26,Toyota,658
2023-10-08,Pontiac,268
2023-11-24,BMW,830
2023-09-24,BMW,737
2024-04-17,Lotus,717
2024-01-06,Scion,676
2023-09-10,Ford,433
2023-06-26,Mercedes-Benz,846
2023-09-14,Mazda,824
2024-05-18,Aptera,905
2024-01-12,Maserati,972
2023-09-02,Volkswagen,706
2024-03-12,Buick,975
2024-05-29,Jaguar,643
2024-04-26,Cadillac,201
2024-05-31,Hummer,849
2024-04-24,BMW,334
2024-03-03,Mitsubishi,980
2024-05-05,Porsche,413
2023-11-28,Honda,537
2024-05-13,Mazda,258
2024-02-23,Pontiac,942
2023-09-12,Ford,311
2024-05-14,Ford,127
2024-01-29,Mitsubishi,659
2023-11-03,Infiniti,842
2023-08-29,Plymouth,252
2023-09-25,GMC,396
2023-08-11,Acura,756
2023-08-22,Mitsubishi,619
2023-08-06,Maserati,759
2024-02-23,Ford,130
2023-09-18,Suzuki,225
2024-02-27,Lamborghini,669
2024-03-25,BMW,618
2023-11-10,Chevrolet,328
2023-06-08,Infiniti,934
2024-02-15,Volkswagen,313
2024-01-19,Mitsubishi,843
2024-04-19,Ford,412
2024-05-28,Nissan,742
2023-12-16,Ford,686
2023-12-31,Mazda,798
2023-09-29,Chevrolet,790
2024-03-21,Dodge,112
2023-07-03,Mazda,716
2023-08-13,Nissan,333
2023-12-02,Tesla,547
2024-01-26,Chrysler,281
2024-01-28,Dodge,93
2024-02-25,Infiniti,387
2024-01-31,Jaguar,613
2023-11-11,Chevrolet,179
2024-03-14,GMC,294
2024-05-07,Mitsubishi,205
2023-11-23,Nissan,692
2023-09-11,Suzuki,327
2023-10-29,Chevrolet,619
2024-02-18,Lincoln,464
2024-03-25,Chevrolet,512
2023-10-25,BMW,504
2024-01-02,Mazda,561
2024-04-23,Hyundai,161
2023-12-13,Mercedes-Benz,557
2024-02-27,Subaru,937
2023-12-05,Hyundai,66
2024-02-01,Volkswagen,734
2024-03-01,Cadillac,225
2024-04-07,Chevrolet,521
2023-11-01,Oldsmobile,383
2024-05-02,Ford,601
2023-09-30,Audi,78
2024-02-28,Ford,593
2023-12-28,Mitsubishi,447
2023-10-16,Acura,448
2024-05-05,Pontiac,538
2023-12-12,Dodge,827
2023-11-25,Ford,170
2023-09-24,Buick,422
2023-08-14,Chevrolet,971
2023-12-23,Lincoln,60
2023-11-28,Subaru,814
2023-12-09,Chrysler,905
2023-11-29,Mercedes-Benz,950
2023-11-30,Ford,533
2024-04-24,Aston Martin,417
2024-05-15,Mitsubishi,66
2023-08-21,Acura,319
2023-11-15,GMC,230
2024-04-16,Mercedes-Benz,395
2024-04-28,Toyota,842
2023-06-21,Toyota,644
2024-03-26,Subaru,755
2024-01-31,GMC,469
2024-05-08,Toyota,514
2023-06-11,Acura,883
2023-07-24,Audi,793
2023-07-30,Honda,973
2024-03-16,Hyundai,441
2023-08-15,Pontiac,167
2023-08-03,Chrysler,891
2023-06-29,Toyota,340
2023-12-03,Lotus,336
2023-08-25,Lincoln,574
2023-10-18,Honda,302
2023-10-24,Mitsubishi,281
2024-05-13,Ford,88
2023-11-02,Jeep,749
2023-10-19,Ford,585
2024-05-19,Toyota,252
2023-07-29,Mercedes-Benz,706
2023-11-01,GMC,993
2023-12-07,Oldsmobile,795
2023-08-23,Pontiac,71
2023-12-18,Kia,197
2024-04-11,Volkswagen,502
2023-12-02,Pontiac,728
2023-12-18,Nissan,644
2023-11-05,Dodge,714
2024-01-07,Mitsubishi,709
2023-09-30,Ram,381
2023-08-07,Toyota,187
2023-07-16,Ford,890
2024-05-21,Volvo,130
2024-05-04,Nissan,371
2024-05-23,Mazda,886
2023-10-17,Mazda,905
2023-10-14,Mercedes-Benz,424
2023-11-22,Pontiac,499
2023-12-10,Mercedes-Benz,214
2023-11-17,Acura,549
2024-04-11,Dodge,950
2023-10-13,Volkswagen,524
2023-10-18,Nissan,500
2023-11-29,Ferrari,820
2024-05-16,Mercury,55
2024-05-16,Plymouth,674
2023-08-04,Volkswagen,596
2024-05-28,Volkswagen,372
2024-01-06,Mercury,728
2024-04-15,Pontiac,543
2024-03-29,Audi,166
2024-01-26,BMW,150
2023-11-17,Land Rover,897
2024-04-27,GMC,677
2023-08-19,Hummer,633
2023-08-07,Jaguar,234
2023-07-29,Kia,785
2023-08-10,Buick,261
2024-02-04,Mitsubishi,773
2023-06-15,GMC,385
2024-05-08,Mazda,335
2024-03-14,GMC,469
2023-07-06,Pontiac,204
2023-07-18,Saab,283
2023-09-12,Saturn,787
2023-12-05,Ford,771
2024-05-04,BMW,189
2024-06-03,GMC,269
2023-12-01,Pontiac,785
2024-01-27,Kia,755
2024-06-04,Mercury,613
2024-01-12,Ford,314
2024-03-14,Bentley,795
2023-10-03,Ford,100
2024-05-09,Chevrolet,684
2023-11-17,Mercury,841
2023-09-02,Mitsubishi,547
2024-03-16,Chevrolet,796
2023-06-10,Oldsmobile,611
2024-05-26,Isuzu,766
2024-02-08,Dodge,341
2023-08-20,Porsche,778
2023-10-16,Volvo,932
2023-07-18,Mercury,930
2023-06-11,Ford,860
2023-11-20,Chevrolet,595
2023-07-14,Mitsubishi,595
2024-05-07,Mazda,975
2024-01-14,Chrysler,790
2024-03-23,Hyundai,998
2024-04-14,Honda,252
2023-12-29,Acura,992
2024-01-08,Lexus,812
2023-09-24,Toyota,422
2023-10-04,Ford,986
2023-11-04,Ford,106
2023-08-25,Hyundai,552
2023-09-27,Toyota,537
2023-08-09,Suzuki,182
2024-02-05,Buick,128
2023-06-22,Ford,952
2023-08-09,Volvo,298
2023-11-02,Mitsubishi,190
2023-09-04,BMW,449
2023-10-29,GMC,145
2024-02-12,Chevrolet,957
2024-06-01,Jeep,482
2024-01-19,Ford,313
2023-11-24,Mercury,78
2023-08-28,GMC,395
2023-09-20,Bentley,974
2023-10-27,Cadillac,504
2023-09-30,Subaru,335
2024-05-09,Mercedes-Benz,402
2024-03-09,BMW,73
2024-04-29,Ford,502
2024-04-26,Volkswagen,362
2024-02-25,Pontiac,895
2023-06-28,Chevrolet,792
2023-11-05,Audi,356
2024-06-05,Volvo,164
2024-04-16,Lexus,174
2023-11-21,Land Rover,367
2023-08-06,GMC,796
2023-09-07,Cadillac,229
2024-04-02,Buick,595
2023-11-28,Mitsubishi,840
2023-12-06,Volvo,735
2024-04-17,Ford,887
2023-11-25,Land Rover,397
2024-01-25,Volkswagen,335
2023-08-30,GMC,802
2023-07-14,Audi,423
2024-01-24,Pontiac,860
2023-12-11,Saab,927
2024-02-01,Oldsmobile,333
2023-12-04,Isuzu,772
2023-09-18,Honda,173
2024-01-23,Hyundai,467
2023-07-14,Toyota,66
2024-03-28,Ford,104
2024-05-23,Mitsubishi,473
2024-02-22,Nissan,710
2023-11-11,Chevrolet,138
2024-03-29,Buick,56
2024-02-02,Maserati,995
2023-12-30,Land Rover,472
