Date,Sales
2/24/2003,2871
5/7/2003,2766
7/1/2003,3884
8/25/2003,3747
10/10/2003,5205
10/28/2003,3480
11/11/2003,2498
11/18/2003,5512
12/1/2003,2169
1/15/2004,4708
2/20/2004,3966
4/5/2004,2333
5/18/2004,3189
6/28/2004,3677
7/23/2004,4177
8/27/2004,4100
9/30/2004,2597
10/15/2004,4394
11/2/2004,4358
11/15/2004,4396
11/24/2004,7738
12/17/2004,1451
2/3/2005,733
3/3/2005,3207
4/8/2005,2435
5/13/2005,7516
1/29/2003,5405
3/24/2003,7209
5/28/2003,7329
7/24/2003,7374
9/19/2003,10994
10/20/2003,4860
11/6/2003,8015
11/13/2003,5373
11/25/2003,7290
12/5/2003,9065
1/29/2004,6075
3/10/2004,6463
5/4/2004,6120
6/15/2004,7681
7/19/2004,4905
8/17/2004,8015
9/8/2004,7136
10/11/2004,10173
10/21/2004,11624
11/4/2004,6000
11/18/2004,3003
11/29/2004,3945
12/10/2004,5692
1/20/2005,4515
2/17/2005,8255
3/9/2005,2417
5/1/2005,4140
5/31/2005,12001
2/24/2003,3896
4/29/2003,2794
7/1/2003,3308
8/25/2003,5193
10/10/2003,5017
10/28/2003,3661
11/11/2003,4696
11/18/2003,3661
12/1/2003,3026
1/12/2004,3009
2/20/2004,5422
4/3/2004,2852
5/18/2004,5757
6/28/2004,4472
7/23/2004,2904
8/27/2004,6485
9/27/2004,3757
10/15/2004,4044
11/2/2004,5567
11/15/2004,3176
11/23/2004,2757
12/17/2004,1330
2/2/2005,5288
3/3/2005,2226
4/7/2005,5834
5/13/2005,5887
2/24/2003,6066
4/29/2003,9265
7/1/2003,7024
8/25/2003,5176
10/10/2003,4133
10/28/2003,4183
11/11/2003,8893
11/18/2003,8715
12/1/2003,8066
1/12/2004,6123
2/20/2004,9774
4/5/2004,7024
5/18/2004,7078
6/28/2004,8337
7/23/2004,6902
8/27/2004,5438
9/30/2004,6683
10/15/2004,4570
11/2/2004,7667
11/15/2004,5868
11/23/2004,2990
1/5/2005,3664
2/2/2005,3834
3/3/2005,1822
4/8/2005,11887
5/13/2005,9218
2/11/2003,7208
4/28/2003,5005
6/12/2003,4398
8/10/2003,5598
10/6/2003,4526
10/23/2003,5924
11/8/2003,3492
11/14/2003,3854
11/26/2003,5324
1/9/2004,5198
2/19/2004,5998
5/7/2004,2910
6/17/2004,3378
7/21/2004,3509
8/20/2004,2992
9/10/2004,3427
10/14/2004,2693
11/1/2004,4129
11/5/2004,3052
11/21/2004,1201
12/2/2004,1962
12/15/2004,2625
1/31/2005,4046
2/23/2005,4847
3/17/2005,3371
4/1/2005,9661
5/6/2005,2765
1/29/2003,5398
4/1/2003,4305
5/28/2003,3348
7/24/2003,3188
9/19/2003,3191
10/21/2003,3537
11/6/2003,5363
11/13/2003,3433
11/25/2003,4264
12/9/2003,4076
2/4/2004,7020
3/11/2004,6427
5/4/2004,4592
6/15/2004,4033
7/19/2004,4302
8/19/2004,7021
9/8/2004,3856
10/13/2004,6681
10/22/2004,6678
11/4/2004,2852
11/19/2004,3188
11/29/2004,4428
12/10/2004,5781
1/20/2005,2297
2/17/2005,6232
3/9/2005,1735
5/1/2005,4428
5/31/2005,5895
3/3/2003,5265
5/8/2003,7600
7/2/2003,8009
9/5/2003,9246
10/10/2003,8296
11/4/2003,5020
11/12/2003,5411
11/20/2003,3841
12/2/2003,3930
1/15/2004,7499
2/22/2004,4518
4/9/2004,5775
6/1/2004,3923
7/6/2004,9160
8/2/2004,9631
8/30/2004,3432
10/4/2003,5522
10/16/2004,6935
11/3/2004,6876
11/15/2004,2930
11/24/2004,3584
1/6/2005,2818
2/3/2005,3420
3/3/2005,2575
5/17/2005,1961
2/11/2003,8690
4/16/2003,6034
6/3/2003,11279
8/8/2003,8023
9/28/2003,4904
10/22/2003,8595
11/6/2003,7475
11/14/2003,3884
11/26/2003,8888
1/2/2004,8603
2/12/2004,7181
3/19/2004,8379
5/5/2004,10606
7/20/2004,5818
8/20/2004,7071
9/9/2004,8412
10/14/2004,6571
10/22/2004,7975
11/5/2004,2688
11/20/2004,1888
11/1/2004,2513
12/15/2004,4764
1/23/2005,3561
2/17/2005,3824
3/17/2005,2281
5/5/2005,8678
1/29/2003,3395
3/26/2003,3415
5/28/2003,2440
7/24/2003,4830
9/19/2003,4100
10/21/2003,6563
11/6/2003,6817
11/13/2003,6164
11/25/2003,4934
12/5/2003,4056
2/2/2004,5759
3/11/2004,3451
5/4/2004,5920
6/15/2004,6668
7/19/2004,4095
8/19/2004,2939
9/8/2004,6388
10/11/2004,6396
10/22/2004,2669
11/4/2004,4784
11/18/2004,3274
11/29/2004,3586
12/10/2004,5960
1/20/2005,8470
2/17/2005,2952
3/9/2005,2465
5/1/2005,6232
5/31/2005,7969
2/24/2003,3037
5/7/2003,8284
7/1/2003,2711
8/25/2003,8340
10/10/2003,6239
11/4/2003,4639
11/11/2003,6748
11/18/2003,4512
12/1/2003,4029
1/15/2004,4772
2/21/2004,6088
4/5/2004,4193
5/18/2004,7552
6/28/2004,6434
8/2/2004,5182
8/27/2004,6864
9/30/2004,4157
10/15/2004,4660
11/3/2004,4112
11/15/2004,3543
11/24/2004,8119
1/5/2005,3877
2/3/2005,3867
3/3/2005,5951
4/8/2005,8649
5/13/2005,3448
1/31/2003,5959
4/16/2003,5912
6/3/2003,7366
8/8/2003,4986
9/28/2003,5394
10/22/2003,4880
11/6/2003,8379
11/14/2003,4038
11/26/2003,3807
1/2/2004,3142
2/12/2004,4714
3/15/2004,7016
5/5/2004,4381
7/20/2004,4283
8/20/2004,4365
9/9/2004,4242
10/14/2004,4983
10/22/2004,6394
11/5/2004,1467
11/20/2004,4059
11/1/2004,4802
12/10/2004,2712
1/26/2005,5862
2/17/2005,4072
5/5/2005,8237
3/3/2003,6130
5/8/2003,3693
7/2/2003,6032
9/5/2003,3495
10/11/2003,5294
11/4/2003,5465
11/12/2003,2861
11/20/2003,5590
12/2/2003,2255
1/16/2004,4947
2/22/2004,2496
4/9/2004,3167
6/1/2004,2403
7/6/2004,2455
8/2/2004,5465
8/30/2004,4757
10/4/2003,3985
10/16/2004,3100
11/3/2004,4850
11/15/2004,3847
11/24/2004,4221
1/6/2005,3289
2/8/2005,3987
3/3/2005,1810
5/17/2005,1092
2/11/2003,4566
4/16/2003,5938
6/3/2003,8139
8/8/2003,9471
9/28/2003,7037
