"WellReadingID","WellDeviceID","DateTime","CH4","CO2","O2","Ini Pressure","Adj Pressure","GasTemp","RefStaticPress","N2","AdjGasTemp"
"254","6","1/15/2004 11:33:00","9.7","21.7","0.1","-98789","0.2","NULL","NULL","NULL","64"
"4849","96","1/15/2004 11:49:00","40.5","24.5","0.1","-98789","0.3","NULL","NULL","NULL","71"
"310","7","1/15/2004 12:01:00","24.9","22","1.8","-98789","0.3","NULL","NULL","NULL","0"
"360","8","1/15/2004 12:30:00","18.6","21.3","0","-98789","-2.3","NULL","NULL","NULL","76"
"4346","86","1/15/2004 12:40:00","41.1","29.4","0.1","-98789","-1.9","NULL","NULL","NULL","81"
"4296","85","1/15/2004 12:52:00","32.4","21.8","6.8","-98789","-2.2","NULL","NULL","NULL","72"
"413","9","1/15/2004 13:04:00","43.1","29.9","2.4","-98789","-2.2","NULL","NULL","NULL","71"
"464","10","1/15/2004 13:14:00","37.2","26","5.6","-98789","-2.1","NULL","NULL","NULL","70"
"513","11","1/15/2004 13:23:00","12.5","23.2","0.1","-98789","-1.8","NULL","NULL","NULL","78"
"3743","74","1/15/2004 13:37:00","44.6","33.3","0.9","-98789","-1.8","NULL","NULL","NULL","79"
"3793","75","1/15/2004 13:49:00","48.3","34","0.9","-98789","-2","NULL","NULL","NULL","80"
"564","12","1/15/2004 14:04:00","24","19.2","7.6","-98789","-2","NULL","NULL","NULL","79"
"614","13","1/15/2004 14:13:00","28.1","29.8","0.2","-98789","-2.3","NULL","NULL","NULL","77"
"3182","63","1/15/2004 14:23:00","19.4","26.5","0","-98789","-2.1","NULL","NULL","NULL","79"
"3233","64","1/15/2004 14:35:00","24.2","28.1","0","-98789","-1.9","NULL","NULL","NULL","79"
"663","14","1/15/2004 14:49:00","30.6","30.9","0.5","-98789","-2.5","NULL","NULL","NULL","70"
"713","15","1/15/2004 14:59:00","25.8","29.9","0.3","-98789","-3.1","NULL","NULL","NULL","72"
"2670","53","1/15/2004 15:08:00","25.6","29.7","0.1","-98789","-3","NULL","NULL","NULL","71"
"206","5","1/15/2004 15:16:00","21.6","28.1","0","-98789","-2.3","NULL","NULL","NULL","79"
"764","16","1/15/2004 15:28:00","39.8","30.7","1.6","-98789","-3","NULL","NULL","NULL","70"
"2155","43","1/15/2004 15:35:00","42.7","33.6","0.1","-98789","-3.3","NULL","NULL","NULL","72"
"2671","53","1/16/2004 10:02:00","25.2","29.3","0.2","-98789","-1.6","NULL","NULL","NULL","71"
"2156","43","1/16/2004 10:13:00","1.9","1.2","20.3","-98789","-0.8","NULL","NULL","NULL","60"
"2104","42","1/16/2004 10:26:00","11.6","9.1","15.1","-98789","-0.7","NULL","NULL","NULL","59"
"864","18","1/16/2004 10:35:00","0.4","0.5","21","-98789","-0.2","NULL","NULL","NULL","60"
"814","17","1/16/2004 10:41:00","20.3","20.7","3.5","-98789","-0.3","NULL","NULL","NULL","59"
"916","19","1/16/2004 10:47:00","15.7","25.5","0.1","-98789","0","NULL","NULL","NULL","60"
"969","20","1/16/2004 10:53:00","4.2","4","17.8","-98789","0","NULL","NULL","NULL","59"
"1070","22","1/16/2004 11:04:00","40.7","34.8","0.4","-98789","-0.2","NULL","NULL","NULL","61"
"1020","21","1/16/2004 11:12:00","33.9","31","0","-98789","-2","NULL","NULL","NULL","80"
"1170","24","1/16/2004 11:22:00","2","2","20.2","-98789","-0.3","NULL","NULL","NULL","69"
"155","4","1/16/2004 11:28:00","41.1","31.8","0.1","-98789","-3.6","NULL","NULL","NULL","78"
"1120","23","1/16/2004 11:36:00","24.3","29.6","0","-98789","0","NULL","NULL","NULL","59"
"1220","25","1/16/2004 11:42:00","1.2","1.3","20.2","-98789","0.1","NULL","NULL","NULL","69"
"1373","28","1/16/2004 11:50:00","8.3","14.9","6.5","-98789","0","NULL","NULL","NULL","69"
"1319","27","1/16/2004 11:55:00","40.2","33.9","0.2","-98789","-0.1","NULL","NULL","NULL","61"
"1526","31","1/16/2004 12:04:00","8.3","21.8","0","-98789","0","NULL","NULL","NULL","68"
"1577","32","1/16/2004 12:11:00","36.9","34.7","0.5","-98789","0.2","NULL","NULL","NULL","68"
"1474","30","1/16/2004 12:23:00","29.4","31.6","0","-98789","0","NULL","NULL","NULL","78"
"1423","29","1/16/2004 12:32:00","38.3","34.4","0","-98789","-0.9","NULL","NULL","NULL","82"
"2003","40","1/16/2004 12:39:00","48","33.9","0.1","-98789","-2","NULL","NULL","NULL","73"
"2053","41","1/16/2004 12:45:00","42.8","31.2","0.6","-98789","0.2","NULL","NULL","NULL","70"
